timestamp,uid,sid,rating
885048004,327,159,4
878771243,625,254,4
883889691,225,13,5
880484444,229,213,4
884916532,344,254,4
880044697,377,234,4
881652417,346,464,4
879991218,388,485,4
885045740,327,313,5
890863072,832,744,4
887736045,209,171,5
891038262,826,922,5
880672637,756,124,5
893083740,805,530,4
890881384,13,886,5
876266860,401,0,5
884749281,319,229,4
891239406,638,657,4
888519725,681,219,4
890757717,340,1361,4
884636519,523,69,4
879992310,895,32,5
879375537,61,645,4
883427012,703,49,4
891035309,833,1105,4
875038529,831,189,5
890089749,576,520,4
879572516,248,57,5
878694341,813,199,4
875104068,791,1096,5
883601155,5,501,4
880484800,229,473,5
887665422,82,63,5
888579520,511,183,5
880392268,373,844,5
878738335,424,141,4
885872684,93,269,4
877545605,542,81,4
878149278,605,534,4
875980669,775,511,5
891498030,780,304,4
879376967,868,9,4
884634707,523,202,5
891354053,6,238,4
879949107,552,150,5
891546914,333,55,4
891194932,483,313,5
891282903,940,78,5
887924084,473,648,4
891691436,881,266,4
880354149,359,13,5
882774047,12,309,4
879460236,478,118,4
882141872,12,695,4
876545417,329,397,5
891628708,774,22,4
883880079,606,85,4
874854294,931,184,4
882145428,68,47,5
891384147,89,688,5
890117028,235,278,5
882813248,852,217,4
876251922,129,397,5
884196640,295,613,5
879303249,860,821,4
888891794,862,28,4
891386988,782,309,5
876954484,269,534,4
879535392,928,118,4
891888244,447,984,5
891038978,391,194,5
888806120,693,303,4
891694276,881,3,4
879024043,137,503,5
879458692,631,161,4
880914645,858,306,4
879364669,851,328,4
879440516,360,46,4
882139829,12,642,4
881179455,556,518,5
882074312,300,23,4
879785974,402,108,4
888632134,494,205,5
880142851,436,231,4
879994777,709,381,4
874782068,118,85,4
885776352,857,920,5
879457641,631,198,4
878918712,761,594,4
878854954,446,524,4
879191972,532,208,4
879304196,860,6,5
879360583,717,352,4
884291210,664,745,4
879647299,416,206,4
875238883,296,172,4
891370998,649,183,4
875747401,62,279,4
893047320,794,396,5
879436268,309,13,5
877018125,633,915,5
882387773,428,187,5
880474510,289,132,4
882064321,708,231,4
882608402,591,744,5
888887658,862,183,4
875129839,421,253,4
885075304,744,584,4
885254226,520,132,4
891309040,617,889,4
888550631,1,297,4
875666110,758,821,5
882426601,566,1085,4
875946830,381,232,5
876464694,873,265,4
880140015,436,496,5
878771419,625,322,4
888640392,745,78,4
879445378,405,485,4
884882702,647,174,5
874948105,345,313,5
885943651,427,298,5
891700257,279,12,5
888556434,772,202,4
887825614,892,339,4
879364981,886,282,5
881058666,221,179,4
891354090,6,585,4
878694381,813,510,4
888631524,531,442,4
877138395,719,703,5
891449249,642,768,4
888979075,785,733,5
885844394,572,21,4
875289170,917,1091,4
891033635,558,310,5
880307207,82,990,4
884050705,74,1010,4
889654419,234,339,5
880659941,769,914,5
891560842,190,282,4
883526267,184,673,4
891290685,515,166,5
877877847,298,281,5
879716962,411,497,4
889237174,2,337,4
875965981,910,587,5
877196089,330,282,4
891719775,185,466,4
875217265,129,176,4
891447228,699,271,5
879181042,925,115,5
880937876,373,224,4
881168712,408,471,4
