uid,sid,rating,timestamp
0,0,1,878887116
1,1,1,886397596
2,2,4,884182806
3,3,5,891628467
4,4,3,886324817
5,5,3,883603013
6,6,2,879372434
7,7,5,879781125
8,8,5,876042340
9,9,3,888104457
10,10,3,879485318
11,11,5,879270459
12,12,4,874834944
13,13,4,886176814
14,14,4,892738452
12,15,2,874833878
15,16,4,887736532
16,17,2,879196566
17,18,4,875747401
18,19,3,877052329
19,20,4,882075827
20,21,4,880731963
21,22,3,884238860
22,23,1,878962623
23,24,5,891295330
24,25,1,874791932
25,26,4,891350932
26,27,4,885329322
27,28,2,884114233
24,29,3,874791805
28,30,5,875333916
29,31,5,884921594
30,32,5,879741196
31,33,5,879641194
32,34,3,882823437
33,35,4,886271884
34,36,2,876535131
35,37,4,890618898
36,38,5,885853415
37,39,5,888205088
38,40,2,880037164
39,41,4,879877127
20,42,5,880474293
40,43,5,881107687
41,44,1,879667584
27,45,4,884112673
42,46,3,882141053
29,47,4,884920949
43,48,5,879024232
44,49,5,883326620
45,50,4,893277702
46,51,3,879987440
47,52,1,890251826
29,53,3,884923047
48,54,4,879546723
32,55,4,882823954
49,56,3,886475558
50,57,3,888906576
51,58,5,884364867
52,59,5,879539643
53,58,3,878192429
52,60,5,879540748
24,61,3,874791025
54,62,4,878183381
55,63,5,878971773
40,64,3,881108684
56,65,4,879361873
39,66,4,879876194
57,67,5,875296291
6,68,3,879375537
58,69,4,881961214
59,70,4,879857765
60,71,3,883709863
7,72,4,877531942
50,73,3,888905170
1,74,5,886397722
61,75,4,878090499
62,76,5,885848672
63,77,5,876860807
64,15,4,875320714
65,78,5,884288058
66,79,4,884304936
67,80,4,891384754
6,81,3,879373460
68,82,4,879376641
69,83,4,891720887
70,84,3,879966895
2,85,4,884182806
71,86,5,878347874
72,87,5,886122352
48,88,2,879524643
38,86,5,880037702
54,89,5,883815120
61,90,3,878089182
73,91,3,890687042
9,92,3,888082216
74,93,4,879791710
50,94,3,888904884
37,70,5,888205300
7,95,5,877533771
39,96,4,879876734
75,97,2,884714402
42,98,4,884538403
76,99,2,880605157
4,49,5,886323090
77,100,2,883955745
53,101,4,889502823
78,102,3,883698454
79,103,3,883452363
80,104,4,891449922
53,105,3,877878184
48,106,4,879525876
81,107,3,885678247
82,14,4,877886846
83,108,4,874724988
10,47,4,879467295
84,109,5,878870987
67,20,5,891383204
85,110,2,888067405
40,111,3,881108425
86,112,2,879371261
87,113,4,875537965
88,114,4,885412840
89,115,4,875744136
4,108,2,886324028
71,71,4,883612356
77,116,4,875975656
57,117,1,875298353
90,106,5,887401701
49,118,4,886472768
2,119,3,884183336
57,120,1,892174404
91,121,4,883601324
81,122,4,885680138
42,20,4,881515011
54,123,4,878183481
8,124,5,884128554
84,125,5,878955442
24,37,3,874786392
69,126,3,891723086
92,95,4,875801662
63,127,3,876857977
50,128,3,888906966
92,129,4,875216545
47,130,3,886443455
93,131,4,882164999
94,132,4,878542420
95,123,3,892910207
42,133,4,882140926
47,134,3,875654637
96,77,5,881105481
33,135,2,886272175
9,48,3,888104153
22,136,4,878962392
83,137,4,874724710
4,94,4,886323648
97,138,2,892838559
21,139,5,884238860
98,140,4,887665548
67,141,4,891383319
99,142,5,879455113
48,38,3,879521396
100,143,1,886987605
101,144,5,879524921
80,145,4,891446165
5,100,5,883599249
102,146,3,880937882
103,147,1,877727122
19,148,4,882078621
24,149,3,874793035
4,150,2,886323068
48,151,2,879541148
104,112,2,891438397
39,152,4,879875940
7,153,4,877531791
8,154,5,884128458
32,155,4,882826555
6,156,4,879374686
105,157,5,882157581
106,158,3,884150257
17,159,3,875747190
58,31,3,881961671
57,160,4,875307407
61,161,4,878089716
53,162,3,889502324
48,61,3,879525876
10,163,3,879485532
107,164,5,879966498
89,165,2,875742942
89,166,2,875744173
98,167,4,880308578
108,168,4,891374868
89,169,1,875744501
109,170,5,879283786
110,171,3,892334609
98,172,4,880308755
22,90,2,878961624
72,173,4,886122952
27,174,1,884140579
111,175,4,879456199
80,176,3,891450023
37,177,3,888205855
7,42,4,889651549
112,178,1,889124507
92,7,3,876250718
113,20,4,875155140
45,179,5,893265380
114,180,1,889452455
115,69,5,877488546
116,113,4,880134407
54,15,4,877563802
117,37,2,879436875
57,181,3,875308843
22,182,2,878963441
27,183,1,884140115
94,184,3,888732928
118,59,5,875270570
119,88,4,874786462
120,185,3,891964230
19,152,3,882078830
103,186,5,877720297
16,187,3,879197562
121,188,4,879138713
122,189,5,884196584
117,190,2,879436785
76,124,3,880606667
54,134,4,878183616
42,191,5,882140588
103,192,5,877722736
123,131,4,876956264
118,51,2,875270655
124,186,5,879465631
125,193,3,877136138
126,164,3,889909840
70,194,4,879967478
22,195,1,878961781
126,196,3,889911285
94,197,4,878542699
