uid,sid,rating,timestamp
0,0,3,881250949
1,1,3,891717742
2,2,2,880606923
3,3,1,886397596
4,4,4,884182806
5,5,2,881171488
6,6,5,891628467
7,7,2,879372434
8,8,5,879781125
9,9,5,876042340
10,10,3,891035994
11,11,3,879485318
12,12,5,879270459
13,13,2,879539794
14,14,4,874834944
15,15,2,892079237
16,16,4,892738452
17,17,4,877881320
18,18,4,887736532
19,19,5,892430094
20,20,2,883748450
21,21,5,876861185
22,22,4,882075827
23,23,4,879539727
24,24,4,880731963
25,25,3,884238860
26,13,4,886890835
27,26,1,878962623
28,27,4,877888877
29,28,4,885329322
30,29,2,884114233
31,30,5,875333916
32,31,5,884921594
33,32,5,879641194
34,33,5,886519097
35,34,3,882823437
36,35,2,876535131
37,36,4,890618898
38,37,5,885853415
39,38,5,888205088
24,39,5,880474293
40,40,5,881107687
41,41,4,881103977
5,42,3,881171009
42,43,1,879667584
30,44,4,884112673
32,45,4,884920949
43,46,5,879024232
16,47,1,892738341
44,28,5,883698581
45,13,4,891550094
46,48,4,893277702
47,49,1,890251826
13,50,4,879546723
48,51,2,887249482
49,52,3,886475558
50,53,3,888906576
51,54,5,884364867
23,55,5,879539643
17,54,3,878192429
52,56,3,874791025
14,17,5,874835091
53,57,4,878183381
54,58,5,878971773
40,59,3,881108684
55,60,4,891903862
56,61,4,888954412
57,62,4,879361873
58,63,4,877635573
59,64,4,879876194
60,65,5,875296291
61,66,5,874781198
7,67,4,879373848
7,68,3,879375537
62,69,4,881961214
63,70,4,879857765
64,71,3,883709863
65,68,5,891383835
50,72,3,888905170
66,73,4,878090499
67,74,5,885848672
21,75,5,876860807
68,67,3,884207492
40,76,5,881107178
69,77,4,886987260
70,17,4,884304936
65,78,4,891384754
67,3,4,885844430
7,79,3,879373460
60,80,3,881375854
71,81,4,879376641
72,82,4,891720887
73,83,3,879966895
74,84,5,878347874
13,85,2,879524643
66,86,3,878089182
75,5,3,890687042
76,87,3,888082216
77,88,3,878769629
78,89,3,880245029
39,70,5,888205300
8,90,5,877533771
2,91,4,880605185
79,92,4,891352010
80,93,1,886434402
77,94,2,884714402
81,95,2,882139746
81,96,4,884538403
2,97,2,880605157
82,98,5,886323090
56,99,2,888954930
17,100,4,889502823
83,101,3,883452363
84,102,4,891449922
17,60,3,877878184
21,88,4,876860807
28,16,4,877886846
85,103,4,874724988
86,98,3,879456350
11,45,4,879467295
87,104,5,878870987
88,81,3,891387947
65,22,5,891383204
89,105,2,888067405
90,106,2,879371261
91,103,4,876973939
92,107,4,875537965
93,33,4,885412840
94,108,4,875744136
95,109,3,875636053
74,71,4,883612356
96,110,4,875975656
60,111,1,875298353
4,112,3,884183336
60,113,1,892174404
97,114,4,883601324
98,115,3,880130193
94,116,2,875542174
81,22,4,881515011
99,117,3,891347949
79,118,4,891353086
9,119,5,884128554
61,120,4,876923913
87,121,5,878955442
72,122,3,891723086
100,90,4,875801662
19,120,4,892428688
21,123,3,876857977
50,124,3,888906966
100,125,4,875216545
47,126,3,886443455
101,127,4,882164999
102,128,4,878542420
103,129,4,880036718
104,130,3,892910207
105,101,2,879455957
47,131,3,875654637
106,132,2,884386343
41,75,5,881105481
107,133,5,888549622
108,134,2,886272175
27,135,4,878962392
85,136,4,874724710
82,137,4,886323648
109,138,3,882922806
110,139,5,891170769
111,140,5,877399018
112,141,2,892838559
70,142,4,884304936
65,143,4,891383319
113,144,5,879455113
13,37,3,879521396
112,145,4,879454628
17,146,4,877877775
84,147,4,891446165
114,148,3,880937882
11,149,5,879467542
115,150,1,877727122
22,151,4,882078621
82,152,2,886323068
13,153,2,879541148
59,154,4,879875940
116,155,4,877819599
8,156,4,877531791
9,157,5,884128458
117,120,1,891632142
7,158,4,879374686
106,159,3,876018608
47,121,4,875653271
22,160,4,882078040
118,161,5,882157581
119,162,3,884150257
120,0,3,875747190
62,31,3,881961671
13,56,3,879525876
11,91,3,879485532
61,55,5,874775038
94,163,2,875742942
94,109,2,875744173
97,117,4,883601089
121,139,5,879394264
122,164,4,880308578
123,165,3,891542540
124,132,2,881368243
125,166,4,891374868
94,167,1,875744501
22,168,4,882076587
126,169,5,879283786
15,170,3,892334609
122,171,4,880308755
27,86,2,878961624
127,172,4,875240090
19,173,5,892430369
79,68,4,891352093
128,174,4,886122952
27,175,1,878961814
86,176,4,879456199
84,177,3,891450023
8,39,4,889651549
129,76,1,889124507
130,178,5,875936424
41,179,5,881104093
100,8,3,876250718
131,22,4,875155140
46,180,5,893265380
132,98,3,879873020
61,9,5,874775311
133,107,4,880134407
53,181,4,877563802
134,36,2,879436875
22,182,5,882076403
27,183,2,878963441
30,184,1,884140115
81,185,3,881515193
102,186,3,888732928
135,55,5,875270570
30,187,4,884114505
136,188,5,884197193
40,189,3,881105817
137,175,3,891964230
22,154,3,882078830
115,190,5,877720297
56,88,3,879197562
138,191,4,879138713
139,192,5,884733766
136,193,5,884196584
53,131,4,878183616
81,194,5,882140588
115,188,5,877722736
140,127,4,876956264
9,28,5,876041644
141,195,5,887646170
142,196,3,877136138
143,197,3,889909840
143,173,3,889911285
102,198,4,875072547
72,199,4,891725009
73,193,4,879967767
22,200,3,882077222
144,201,1,892440172
77,202,3,878769848
53,203,3,878181976
18,204,4,887739521
145,205,2,891435680
52,109,4,874792436
120,206,3,875747514
54,207,4,878970785
81,168,5,881515011
146,208,3,885775745
8,55,2,875806800
116,209,5,889241426
47,54,3,875656201
18,210,4,887739292
147,169,3,888105691
39,211,3,888206409
9,76,5,884129409
115,212,5,877726146
148,213,3,892302309
67,214,4,885848448
67,215,3,885849325
149,216,5,888640356
59,10,3,879876917
106,117,4,877879172
113,217,2,879454663
150,218,4,880130397
17,219,3,889503806
67,220,4,885849447
82,221,4,886324486
89,222,2,888068912
28,223,3,877888677
151,224,3,880433418
152,225,4,891560842
96,106,3,875975110
153,226,5,874951695
15,227,4,892334543
18,228,4,887740700
18,229,4,887737036
84,230,5,891447773
72,5,4,891721889
94,231,3,875310824
113,232,5,879455254
88,233,3,891390477
136,42,5,884196921
154,225,3,891732334
15,234,3,892079140
155,103,2,888465972
19,235,1,892434626
15,236,3,892078343
