uid,sid,rating,timestamp
0,0,3,881250949
1,1,3,891717742
2,2,1,878887116
3,3,2,880606923
4,4,4,884182806
5,5,2,881171488
6,6,5,891628467
7,7,3,886324817
8,8,3,883603013
9,9,2,879372434
10,10,5,876042340
11,11,3,891035994
12,12,3,888104457
13,13,2,879539794
14,14,4,874834944
15,15,2,892079237
16,16,4,886176814
17,17,4,892738452
14,18,2,874833878
18,19,4,887736532
19,20,2,879196566
20,21,2,883748450
21,22,4,875747401
22,23,5,876861185
23,24,3,877052329
24,25,4,882075827
25,26,4,879539727
26,27,4,880731963
27,28,3,884238860
28,13,4,886890835
29,29,1,878962623
30,30,5,891295330
31,31,1,874791932
32,32,4,877888877
33,33,4,885329322
34,34,2,884114233
31,35,3,874791805
35,36,5,875333916
36,37,5,879741196
37,38,5,886519097
38,39,3,882823437
39,40,4,886271884
40,41,2,876535131
41,42,4,890618898
42,43,5,885853415
43,44,5,888205088
44,45,2,880037164
45,46,5,881107687
46,47,4,881103977
5,48,3,881171009
47,49,1,879667584
48,50,3,882141053
49,51,4,884920949
50,52,5,879024232
51,53,5,883326620
52,33,5,883698581
53,13,4,891550094
54,54,1,890251826
49,55,3,884923047
13,56,4,879546723
55,57,2,887249482
38,58,4,882823954
56,59,3,886475558
57,60,5,884364867
58,60,3,878192429
25,61,5,879540748
31,62,3,874791025
14,63,5,874835091
59,64,4,878183381
60,65,4,891903862
61,66,4,879361873
62,67,4,877635573
63,68,4,879876194
64,69,5,875296291
65,70,2,885557505
16,71,5,874781198
9,72,4,879373848
9,73,3,879375537
66,74,4,881961214
67,75,4,879857765
68,76,3,883709863
69,73,5,891383835
70,77,4,877531942
71,63,4,880234639
72,78,5,886397722
73,79,4,878090499
22,80,5,876860807
74,72,3,884207492
45,81,5,881107178
75,82,5,884288058
76,83,4,886987260
9,84,3,879373460
77,85,4,879376641
78,86,4,891720887
79,87,3,879966895
13,88,2,879524643
59,89,5,883815120
73,90,3,878089182
80,5,3,890687042
12,91,3,888082216
81,92,3,878769629
82,93,4,879791710
83,94,3,888904884
71,95,3,880245029
73,96,3,878092059
43,75,5,888205300
3,97,4,880605185
84,98,4,891352010
85,99,1,886434402
63,13,4,879876734
13,100,2,879551380
48,101,2,882139746
48,102,4,884538403
58,103,4,889502823
52,104,3,883698454
86,105,3,883452363
87,106,4,891449922
13,107,4,879525876
22,92,4,876860807
37,108,3,885678247
88,53,3,879456350
89,109,5,878870987
90,85,3,891387947
69,25,5,891383204
91,110,2,888067405
45,111,3,881108425
92,112,4,876973939
93,113,4,875537965
94,38,4,885412840
95,114,4,875744136
96,115,3,875636053
7,112,2,886324028
97,116,4,875975656
64,117,1,875298353
98,107,5,887401701
56,118,4,886472768
64,119,1,892174404
99,120,4,883601324
95,121,2,875542174
37,122,4,885680138
48,25,4,881515011
100,123,3,891347949
84,124,4,891353086
59,125,4,878183481
10,126,5,884128554
16,78,4,876923913
31,42,3,874786392
78,127,3,891723086
101,128,4,875801662
102,78,4,892428688
22,129,3,876857977
83,130,3,888906966
100,131,2,891385985
54,132,3,886443455
103,133,4,882164999
104,134,4,878542420
44,135,4,880036718
105,105,2,879455957
106,136,2,884386343
107,137,5,888549622
12,52,3,888104153
108,138,4,874724710
109,139,3,882922806
110,140,5,877399018
27,141,5,884238860
111,142,4,884304936
112,23,4,887665548
69,143,4,891383319
113,144,5,879455113
13,43,3,879521396
76,145,1,886987605
114,146,5,879524921
8,147,5,883599249
115,148,3,880937882
24,149,4,882078621
13,150,2,879541148
116,151,2,891438397
63,152,4,879875940
117,153,4,877819599
70,154,4,877531791
10,155,5,884128458
118,78,1,891632142
38,156,4,882826555
9,157,4,879374686
106,158,3,876018608
54,159,4,875653271
24,160,4,882078040
119,161,3,884150257
64,162,4,875307407
73,163,4,878089716
120,25,3,890881335
13,62,3,879525876
121,164,5,879966498
95,131,2,875742942
95,115,2,875744173
99,123,4,883601089
122,165,5,879394264
112,166,4,880308578
123,136,2,881368243
124,167,4,891374868
24,168,4,882076587
125,169,5,879283786
15,170,3,892334609
112,171,4,880308755
126,172,4,875240090
102,173,5,892430369
84,73,4,891352093
127,174,4,886122952
34,175,1,884140579
88,176,4,879456199
87,177,3,891450023
128,178,5,875936424
46,179,5,881104093
101,180,3,876250718
129,181,1,889452455
130,74,5,877488546
16,10,5,874775311
131,42,2,879436875
64,182,3,875308843
24,122,5,882076403
29,183,2,878963441
48,184,3,881515193
104,185,3,888732928
132,88,4,874786462
34,186,4,884114505
133,187,5,884197193
45,20,3,881105817
134,188,3,891964230
24,152,3,882078830
135,189,4,879138713
136,190,5,884733766
133,191,5,884196584
131,192,2,879436785
59,193,4,878183616
48,194,5,882140588
137,187,5,877722736
65,195,2,875270655
138,196,5,879465631
10,33,5,876041644
139,197,5,887646170
140,198,3,877136138
141,164,3,889909840
79,199,4,879967478
141,173,3,889911285
104,200,4,878542699
141,201,5,889906967
115,178,3,880937813
78,202,4,891725009
24,203,3,882077222
24,204,3,882075672
81,205,3,878769848
18,206,4,887739521
142,207,5,879467959
143,208,2,891435680
144,209,5,882126156
56,210,4,887347350
145,211,1,888442575
21,212,3,875747514
70,213,2,875806800
117,214,5,889241426
146,52,4,880129731
18,215,4,887739292
147,169,3,888105691
148,1,4,891560253
43,216,3,888206409
10,81,5,884129409
137,217,5,877726146
149,218,3,892302309
150,219,4,885848448
150,220,3,885849325
151,221,5,888640356
152,222,3,876197678
59,82,3,878182109
63,11,3,879876917
106,123,4,877879172
113,223,2,879454663
58,224,3,889503806
150,225,4,885849447
7,226,4,886324486
91,227,2,888068912
78,228,3,891722802
101,229,3,874953895
32,230,3,877888677
153,201,3,880433418
148,231,4,891560842
97,151,3,875975110
154,232,5,874951695
155,81,5,891409839
48,167,2,888073635
13,233,3,879527264
15,234,4,892334543
18,235,4,887740700
18,236,4,887737036
87,237,5,891447773
95,238,3,875310824
113,239,5,879455254
90,240,3,891390477
133,48,5,884196921
156,231,3,891732334
157,241,5,877544218
145,112,2,888465972
84,242,4,891353444
15,243,3,892078343
152,105,2,876197645
109,244,3,882922661
48,245,4,890704999
38,246,4,882827532
158,247,3,890116671
